식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
CJ)비비고김스낵오리지널,36.0g,153㎉,1g,5g,26g,3g,389㎎,0g,1g,1g
CJ)비비고김치낙지죽,450.0g,225.0㎉,8g,2.6g,43.0g,2g,1250.0㎎,0g,0.6g,0g
CJ)비비고낙지김치죽,450.0g,230㎉,7g,3.6g,42g,3g,1210㎎,0g,0.9g,0g
CJ)비비고누룽지닭백숙죽,280.0g,150㎉,7g,1.8g,26g,0.7g,610.0㎎,0g,0g,0.0g
CJ)비비고단호박죽,450.0g,325.0㎉,4g,1.4g,74.0g,35g,860.0㎎,0g,0.0g,0g
CJ)비비고동태탕,460.0g,175㎉,32g,1.9g,7g,4g,1700.0㎎,0g,0g,0.0g
CJ)비비고돼지김치콩비지찌개,500.0g,405㎉,27g,23g,23g,3g,2170.0㎎,0g,6g,0.0g
CJ)비비고들깨버섯죽,450.0g,250㎉,6g,6g,43g,1g,890㎎,0g,0.6g,0g
CJ)비비고매운왕교자,385.0g,860㎉,26g,51g,74g,14g,1160㎎,0g,18g,0.5g
CJ)비비고미역국,250.0g,60.0㎉,3g,3.6g,4.0g,0g,710.0㎎,0g,0.9g,0g
CJ)비비고버섯야채죽,450.0g,245㎉,3g,4.5g,48g,3g,960㎎,0g,0.7g,0g
CJ)비비고불낙죽,450.0g,255㎉,12g,5g,40g,4g,780㎎,0g,1.3g,0g
CJ)비비고사골곰탕,500.0g,30㎉,3g,2g,0g,0g,1160㎎,0g,0.8g,0g
CJ)비비고삼선해물죽,450.0g,240㎉,9g,3.6g,43g,3g,830.0㎎,0g,0.7g,0.0g
CJ)비비고새우계란죽,450.0g,260㎉,8g,7g,41g,2g,840.0㎎,0g,1.4g,0.0g
CJ)비비고설렁탕,250.0g,40.0㎉,4g,2.4g,0.0g,0g,500.0㎎,0g,1.0g,0g
CJ)비비고소고기무국,300.0g,30.0㎉,4g,0.8g,2.0g,1g,880.0㎎,0g,0.0g,0g
CJ)비비고소고기미역국,500.0g,95㎉,7g,3.9g,8g,1g,1650㎎,0g,0g,0.9g
CJ)비비고소고기장터국,500.0g,165.0㎉,10g,7.0g,16.0g,15g,1900.0㎎,0g,2.3g,0g
CJ)비비고소고기죽,450.0g,250.0㎉,10g,3.5g,45.0g,3g,820.0㎎,0g,1.1g,0g
CJ)비비고소고기한섬만두,320.0g,825.0㎉,45g,30.0g,94.0g,10g,1350.0㎎,0g,10.0g,0g
CJ)비비고알탕,440.0g,165㎉,21g,3.9g,12g,2g,1450.0㎎,0g,0.5g,0.0g
CJ)비비고언양식바싹불고기,100.0g,390㎉,0g,0g,0g,9g,560㎎,0g,10g,0.5g
CJ)비비고왕만두,150g,405.0㎉,20.92g,19.58g,36g,0.9g,1140.0㎎,0g,6.07g,0g
CJ)비비고육개장,500.0g,250.0㎉,11g,7.0g,36.0g,21g,1810.0㎎,0g,1.6g,0g
CJ)비비고전복미역국,500.0g,85㎉,6g,3.2g,8g,1g,1300㎎,0g,0g,0g
CJ)비비고전복죽,450.0g,245.0㎉,6g,4.1g,46.0g,2g,860.0㎎,0g,0.7g,0g
CJ)비비고진국설렁탕,500.0g,140㎉,24g,4.6g,1g,0g,720㎎,0g,0.8g,0g
CJ)비비고차돌된장찌개,460.0g,245.0㎉,18g,8.0g,25.0g,10g,2180.0㎎,0g,1.8g,0g
CJ)비비고차돌육개장,500.0g,215㎉,18g,12g,9g,2g,1490.0㎎,0g,1.2g,0.0g
CJ)비비고참기름,5g,2.19㎉,0g,0.23g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)비비고추어탕,460.0g,195㎉,12g,9g,16g,1g,1570㎎,0g,1.5g,0g
CJ)비비고칩스위트콘,20.0g,120㎉,0.7g,9g,9g,0.7g,85㎎,0g,4.1g,0g
CJ)비비고칩오리지널,20.0g,120㎉,0.7g,9g,9g,0g,130㎎,0g,4.2g,0g
CJ)비비고칩포테이토,20.0g,130㎉,0g,10g,9g,0g,140㎎,0g,4.5g,0g
CJ)비비고코다리무조림,175.0g,120㎉,15g,2g,11g,10g,860㎎,0g,0g,0g
CJ)비비고콩나물황태국,500.0g,85㎉,15g,1.1g,4g,0g,1310㎎,0g,0g,0g
CJ)비비고통단팥죽,280.0g,145.0㎉,8g,0.7g,27.0g,23g,540.0㎎,0g,0.0g,0g
CJ)비비고한우사골곰탕,500.0g,35㎉,3g,1.8g,2g,0.7g,670㎎,0g,0g,0g
CJ)비비고황태해장국,500.0g,80.0㎉,6g,1.0g,12.0g,1g,1580.0㎎,0g,0.0g,0g
CJ)비비고흑임자죽,280.0g,245㎉,8g,10g,31g,10g,620.0㎎,0g,2g,0.0g
CJ)비비엠튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.09g,0g
CJ)빅투치킨튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)빅핫바붉닭구이맛,30g,22.5㎉,1.2g,1.35g,1.2g,0.3g,63.0㎎,0g,0.6g,0g
CJ)빅후랑크청양고추,30g,19.5㎉,1.2g,1.32g,0.6g,0.0g,54.0㎎,0g,0.6g,0g
CJ)빠오즈,150g,405.0㎉,12g,10.95g,64.5g,6.75g,495.0㎎,0g,3g,0g
CJ)쁘띠첼망고쌍인,100.0g,75.56㎉,0g,0g,18.89g,20g,27.78㎎,0g,0g,0g
CJ)쁘띠첼미초레몬유자,100g,180.0㎉,0g,0g,44g,40.0g,0.0㎎,0g,0g,0g
CJ)쁘띠첼미초블루베리,100g,160.0㎉,0g,0g,40g,17.78g,0.0㎎,0g,0g,0g
CJ)쁘띠첼미초청포도,100g,180.0㎉,0g,0g,44g,44.0g,0.0㎎,0g,0g,0g
CJ)쁘띠첼복숭아,100.0g,77.8㎉,0g,0g,18.9g,17.78g,22.2㎎,0g,0g,0g
CJ)쁘띠첼스무디키위바나나,100g,20.23㎉,0.31g,0.03g,4.7g,9.31g,7.7㎎,0g,0g,0g
CJ)쁘띠첼스퀴즈오렌지,100g,20.92㎉,0.39g,0.01g,4.8g,9.58g,8.83㎎,0g,0g,0g
CJ)쁘띠첼스퀴즈오렌지크랜베리,100g,21.38㎉,0.4g,0.01g,4.91g,9.8g,8.26㎎,0g,0g,0g
CJ)쁘띠첼요거딸기뚜또,100.0g,103.2㎉,0.2g,3.2g,18.4g,40g,38.8㎎,0g,1.2g,0g
CJ)쁘띠첼요거복숭아뚜또,100.0g,99.6㎉,0.2g,2.8g,18.4g,18g,44㎎,0g,2.4g,0g
CJ)쁘띠첼요거화이트코코뚜또,100.0g,90.8㎉,0.12g,2.4g,17.2g,38g,36.4㎎,0g,2.8g,0g
CJ)쁘띠첼워터젤리포도,100g,76.9㎉,0g,0g,19.2g,9.23g,19.2㎎,0g,0g,0g
CJ)쁘띠첼치즈케익소프트,70g,278.03㎉,5.53g,13.79g,32.94g,7.84g,144.34㎎,0g,9.62g,0.56g
CJ)쁘띠첼포도,100.0g,77.8㎉,0g,0g,18.9g,17.78g,22.2㎎,0g,0g,0g
CJ)쁘띠첼푸딩초콜릿,100.0g,121.11㎉,1.11g,5.56g,16.67g,14g,42.22㎎,0g,3.33g,0g
CJ)쁘띠첼푸딩커스타드,100.0g,122.22㎉,2.22g,5.56g,15.56g,17.78g,48.89㎎,0g,3.33g,0g
CJ)쁘띠첼프레시루비자몽쌍인,100g,76.19㎉,0g,0g,19.05g,19.0g,47.62㎎,0g,0g,0g
CJ)쁘띠첼프레시망고쌍인,100g,76.19㎉,0g,0g,19.05g,20.0g,42.86㎎,0g,0g,0g
CJ)사계절쌈장,100.0g,200.0㎉,8.0g,2.9g,36.0g,21g,2320.0㎎,0g,0.6g,0g
CJ)사계절쌈장골드,100.0g,195.0㎉,9.0g,2.9g,33.0g,18g,3170.0㎎,0g,0.6g,0g
CJ)사과듬뿍비빔장,100.0g,220.0㎉,3.0g,5.0g,41.0g,31g,1220.0㎎,0g,1.2g,0g
CJ)사과에이드,200g,113.01㎉,0g,0g,27.68g,23.26g,15.49㎎,0g,0g,0g
CJ)삼호맛살,30g,10.62㎉,0.75g,0.07g,1.75g,0.16g,54.86㎎,0g,0.02g,0g
CJ)상하이샤오롱,168g,512.4㎉,15.12g,25.2g,55.44g,8.47g,1041.6㎎,0g,8.06g,0g
CJ)새우완탕,156g,202.8㎉,14.04g,5.15g,26.52g,0.62g,1528.8㎎,0g,1.09g,0g
CJ)새콤달콤초고추장,100.0g,240.0㎉,4.0g,4.3g,46.0g,40g,1820.0㎎,0g,1.2g,0g
CJ)샌드위치햄,30.0g,55.0㎉,5g,4.0g,1.0g,1g,170.0㎎,0g,1.0g,0g
CJ)생야채와물만두,150g,397.58㎉,14.4g,19.58g,41.85g,4.37g,1080.0㎎,0g,7.43g,0g
CJ)샤오롱빠오,168g,369.6㎉,16.8g,18.48g,31.92g,8.47g,512.4㎎,0g,6.72g,0g
CJ)소고기만두규아상,150g,247.5㎉,12g,10.5g,25.5g,5.66g,360.0㎎,0g,3.75g,0g
CJ)소고기죽,280.0g,155㎉,6g,2.2g,28g,2g,620.0㎎,0g,0.7g,0.0g
CJ)쇠고기볶음고추장,60.0g,135.0㎉,4.0g,2.3g,25.0g,12g,1030.0㎎,0g,0.7g,0g
CJ)쇠고기짜장,100g,215.0㎉,7.5g,3.5g,11.5g,0.0g,550.0㎎,0g,0g,0g
CJ)쇠고기카레,200g,780.0㎉,20g,16g,42g,0.0g,1800.0㎎,0g,0g,0g
CJ)숯불구이맛김밥햄,100.0g,235.0㎉,15g,17.0g,5.0g,3g,740.0㎎,0g,6.0g,0g
CJ)쉐프솔루션교자만두,150g,331.39㎉,10.59g,13.99g,40.77g,5.66g,552.15㎎,0g,5.26g,0.1g
CJ)쉐프솔루션군만두,150g,331.59㎉,12.18g,13.77g,39.74g,2.84g,658.65㎎,0g,5.05g,0.12g
CJ)쉐프솔루션콩기름,100.0g,900.0㎉,0g,100.0g,0.0g,0g,0.0㎎,0g,18.0g,0g
CJ)슈퍼후라잉,100.0g,900.0㎉,0g,100.0g,0.0g,0g,0.0㎎,0g,17.0g,0g
CJ)스낵튀김유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)스쿨푸드전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)스팸마일드,100.0g,305㎉,14g,27g,2g,3g,750㎎,0g,17g,0g
CJ)스팸싱글TM클래식,80.0g,225.0㎉,11g,19.0g,2.0g,2g,760.0㎎,0g,15.0g,0g
CJ)스팸싱글마일드,80.0g,210.0㎉,12g,17.0g,2.0g,2g,560.0㎎,0g,11.0g,0g
CJ)스팸클래식,100.0g,305.0㎉,14g,27.0g,2.0g,2g,1100.0㎎,0g,16.0g,0g
CJ)스팸클래식L,100.0g,340.0㎉,13g,31.0g,2.0g,2g,1080.0㎎,0g,11.0g,0g
CJ)시원한동치미냉면육수,324g,92.63㎉,0.87g,0.1g,22.06g,16.26g,2049.9㎎,0g,0.06g,0g
CJ)식후혈당조절에도움을줄수있는밥,100g,145.2㎉,2.9g,0.2g,32.9g,0.0g,7.1㎎,0g,0.2g,0g
CJ)신비비고소고기한섬만두,320.0g,575㎉,0g,0g,0g,7g,1060㎎,55g,9g,1g
CJ)신비비고수교자,308.0g,765㎉,26g,47g,60g,8g,1190㎎,0g,16g,0.5g
CJ)신비비고왕교자,100.0g,215.0㎉,7g,11.0g,22.0g,2g,310.0㎎,0g,4.0g,0g
CJ)신비비고한섬만두,100.0g,730㎉,31g,40g,62g,10g,1310㎎,0g,15g,0.5미만g
CJ)신상하이샤오롱,168.0g,355㎉,0g,0g,0g,5g,590㎎,30g,8g,0g
CJ)실속당면,20g,13.6㎉,0g,0g,3.36g,0.01g,1.6㎎,0g,0g,0g
CJ)쌀눈가득쌀밥,210.0g,320.0㎉,6.0g,1.0g,72.0g,0g,10.0㎎,0g,0.5g,0g
CJ)쌀눈유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)쌀눈유알비더블유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)썬후라잉오일전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)씨비엘에스비40,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘에이치비10,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘에이치비11,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘에이치비32,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.17g,0g
CJ)씨비엘에이치에프10,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘에이치에프11,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘엔씨10,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘엔씨11,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨비엘엠에스10,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)씨제이백설쌀군만두,150g,360.0㎉,13.5g,13.5g,49.5g,2.84g,652.5㎎,0g,4.28g,0g
CJ)씨제이우리밀만두,150g,315.0㎉,12.9g,12g,39g,5.66g,495.0㎎,0g,4.65g,0g
CJ)씨제이조리유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)씨제이프레시안백설김치군만두,150g,330.0㎉,10.95g,18g,31.5g,2.84g,570.0㎎,0g,10.65g,0g
CJ)씨제이프레시안백설잡채군만두,150g,262.5㎉,7.5g,10.5g,36g,2.84g,570.0㎎,0g,3.45g,0g
CJ)씨제이프레시안화권세린식품,70g,122.5㎉,2.8g,0.91g,25.9g,1.96g,49.0㎎,0g,0.14g,0g
CJ)씨지브이팝콘1/2fat팻라이트,20g,16.0㎉,0.38g,0.36g,2.82g,0.15g,9.41㎎,0g,0.18g,0g
CJ)씨지브이팝콘고소한맛,20g,18.35㎉,0.38g,0.75g,2.54g,0.15g,8.47㎎,0g,0.42g,0g
CJ)씨지브이팝콘오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.23g,0g
CJ)씨케이전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)씨푸드전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)아모제후라잉오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)아시안푸드중화전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.08g,0g
CJ)아이시안블루베리,200g,216.8㎉,0g,0g,53.2g,46.8g,50.0㎎,0g,0g,0g
CJ)아주커치킨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)안달루시아산올리브유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)안달루시아산올리브유500ML,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,15g,0g
CJ)안달루시아산퓨어올리브유SPANISHOLIVEOIL,100.0g,900㎉,0g,0g,0g,0g,0㎎,0g,16g,2g
CJ)알래스카연어고소한현미유,5g,0.57㎉,0.05g,0.04g,0g,0.0g,0.9㎎,0g,0.01g,0g
CJ)알찬고추장,100.0mL,230.0㎉,7g,3.0g,45.0g,22g,2420.0㎎,0g,1.0g,0g
CJ)알찬쌈장,100.0g,200.0㎉,11.0g,2.4g,34.0g,18g,2110.0㎎,0g,0.6g,0g
CJ)압착올리브유,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,16g,0g
CJ)앤치킨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)약고추장,100.0g,255.0㎉,8.0g,3.8g,47.0g,22g,1290.0㎎,0g,0.9g,0g
CJ)어묵전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)에스디전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)에스플러스,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)오리엔탈드레싱,15g,4.5㎉,0g,0.25g,0.68g,0.6g,21.38㎎,0g,0g,0g
CJ)오리지널비엔나,100.0g,295.0㎉,14g,23.0g,8.0g,2g,800.0㎎,0g,8.0g,0g
CJ)오리지널후랑크,100.0g,285.0㎉,12g,25.0g,3.0g,2g,700.0㎎,0g,9.0g,0g
CJ)오이물만두,150g,416.25㎉,17.55g,20.25g,40.5g,4.37g,855.0㎎,0g,4.95g,0g
CJ)옥수수식빵믹스,380.0g,1465㎉,52g,23g,263g,59g,1760㎎,0g,10g,0g
CJ)옥수수유진유원,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)옥수수유튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)올리브떡볶이전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)왕빠오즈,150g,472.5㎉,13.95g,15.75g,69.75g,6.75g,652.5㎎,0g,4.5g,0g
CJ)요리전용올리브유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)우리밀김치왕만두,150g,232.5㎉,13.5g,7.5g,28.5g,0.15g,450.0㎎,0g,2.55g,0g
CJ)우리밀만두,150g,435.0㎉,16.5g,18g,52.5g,0.0g,705.0㎎,0g,5.55g,0g
CJ)우리밀물만두,150g,427.5㎉,15.75g,18g,51.75g,4.37g,990.0㎎,0g,6.97g,0g
CJ)우리밀부침가루,100.0g,350㎉,8g,1.9g,75g,2g,720㎎,0g,0.5g,0g
CJ)우리밀왕교자,150g,450.0㎉,18g,21g,48g,5.66g,735.0㎎,0g,7.5g,0g
CJ)우리밀왕만두,150g,255.0㎉,10.5g,13.5g,25.5g,5.66g,540.0㎎,0g,4.65g,0g
CJ)우리밀튀김가루,100.0g,355㎉,7g,2.2g,77g,3g,820㎎,0g,0.7g,0g
CJ)우리쌀군만두,150g,360.0㎉,13.5g,12g,49.5g,2.84g,645.0㎎,0g,4.2g,0g
CJ)우리쌀로만든매운태양초골드고추장,100.0mL,230.0㎉,4g,3.0g,48.0g,27g,2120.0㎎,0g,1.0g,0g
CJ)우리쌀로만든태양초골드고추장,100.0mL,245.0㎉,4g,3.0g,51.0g,27g,1830.0㎎,0g,1.0g,0g
CJ)우리쌀물만두,150g,277.5㎉,11.55g,12g,30g,4.37g,600.0㎎,0g,4.8g,0g
CJ)월병군만두,150g,352.5㎉,9g,19.5g,34.5g,2.84g,720.0㎎,0g,6.6g,0g
CJ)유기농쌀밥,130.0g,190㎉,3g,0.3g,44g,0g,10㎎,0g,0g,0g
CJ)유니짜장,100g,195.0㎉,3.5g,4.5g,11g,0.0g,675.0㎎,0g,0g,0g
CJ)육칠팔전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)이건후라잉오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)이너비잇뷰티,200g,180.0㎉,0g,0g,52g,20.0g,80.0㎎,0g,0g,0g
CJ)이마트베스트참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)이츠웰바삭한군만두,150g,317.95㎉,9.81g,15.68g,34.41g,2.84g,664.05㎎,0g,5.72g,0.08g
CJ)이츠웰새콤달콤초고추장,100.0g,205.0㎉,4.0g,1.5g,44.0g,35g,1650.0㎎,0g,0g,0g
CJ)이츠웰실속교자만두,150g,263.49㎉,11.32g,5.73g,41.65g,5.66g,655.05㎎,0g,1.86g,0.03g
CJ)이츠웰실속물만두,150g,285.0㎉,13.5g,12g,31.5g,4.37g,540.0㎎,0g,4.35g,0g
CJ)이츠웰씨제이왕만두,150g,289.29㎉,14.94g,13.47g,27.08g,5.66g,618.0㎎,0g,4.7g,0.12g
CJ)이츠웰양념쌈장골드,100.0g,195.0㎉,10.0g,3.0g,32.0g,19g,2980.0㎎,0g,0.4g,0g
CJ)이츠웰재래식된장,100.0g,180.0㎉,12g,3.8g,25.0g,13g,3860.0㎎,0g,0.5g,0g
CJ)이츠웰쫄깃한물만두,150g,300.0㎉,12g,13.5g,34.5g,4.37g,780.0㎎,0g,4.35g,0g
CJ)이츠웰콩기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)이츠웰콩기름급식전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)이츠웰해바라기유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)이츠웰현미유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)이탈리따스파게티Rey,100g,368.75㎉,11.25g,1.25g,77.5g,2.72g,12.5㎎,0g,0g,0g
CJ)일식튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)일품튀김유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)잔치소시지,30g,41.7㎉,2.7g,0.45g,6.69g,0.31g,135.38㎎,0g,0.15g,0g
CJ)잡채군만두,150g,262.5㎉,7.5g,9g,39g,2.84g,525.0㎎,0g,1.8g,0g
CJ)재래식된장,100.0g,175.0㎉,13g,5.0g,19.0g,9g,4470.0㎎,0g,0.9g,0g
CJ)재래식된장골드,100.0g,180.0㎉,13g,6.0g,18.0g,11g,4480.0㎎,0g,0.9g,0g
CJ)재래식알찬된장,100.0g,165.0㎉,13g,2.5g,23.0g,9g,3220.0㎎,0g,0.5g,0g
CJ)재래식콩된장,100.0g,175.0㎉,13g,5.0g,19.0g,9g,4470.0㎎,0g,0.9g,0g
CJ)정말맛있는소시지,160.0g,50.0㎉,3g,3.3g,2.0g,0g,240.0㎎,0g,1.2g,0g
CJ)정제올리브유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)제일제면소골동면,100g,217.02㎉,5.96g,2.55g,42.55g,2.3g,906.38㎎,0g,0.55g,0g
CJ)제일제면소메밀비빔국수,100g,234.18㎉,6.75g,2.53g,45.99g,3.46g,1147.6㎎,0g,0.59g,0g
CJ)제일제면소부산밀면,100g,108.74㎉,2.69g,0.83g,22.65g,0.33g,508.97㎎,0g,0.22g,0g
CJ)제일제면소부산밀면사리,100g,236.67㎉,7.33g,0.4g,51.33g,0.33g,306.67㎎,0g,0g,0g
CJ)제일제면소비빔국수,100g,236.29㎉,5.06g,1.98g,49.37g,3.93g,1021.1㎎,0g,0.46g,0g
CJ)제일제면소생소면사리,100g,280.0㎉,7.33g,0.73g,61.33g,1.33g,706.67㎎,0g,0g,0g
CJ)제일제면소생칼국수,100g,274.29㎉,6.29g,0.91g,60.57g,0.6g,691.43㎎,0g,0g,0g
CJ)제일제면소어묵우동,100g,53.6㎉,1.82g,0.45g,10.57g,2.86g,266.06㎎,0g,0.18g,0g
CJ)제일제면소유부우동,100g,56.54㎉,1.62g,0.81g,10.69g,2.86g,254.2㎎,0g,0.18g,0.01g
CJ)제일제면소잔치국수,100g,257.98㎉,5.85g,0.8g,56.92g,3.93g,1361.7㎎,0g,0g,0g
CJ)제일제면소튀김우동,100g,70.44㎉,1.77g,1.25g,13.03g,4.51g,283.37㎎,0g,0.54g,0.01g
CJ)조미김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)조미김전용유에이치,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)죠스떡볶이튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)중력밀가루,100.0g,365㎉,9g,1.9g,78g,1g,0㎎,0g,0.6g,0g
CJ)즐거운동행생칼국수,100g,270.0㎉,6g,0.8g,60g,0.6g,680.0㎎,0g,0g,0g
CJ)지짐이전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)진한들기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)진한참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)찰골드고추장,100.0mL,230.0㎉,6g,2.0g,47.0g,28g,1920.0㎎,0g,0.0g,0g
CJ)찰밀가루,100.0g,360㎉,8g,1.1g,80g,2g,0㎎,0g,0.4g,0g
CJ)참쌀떡볶이떡,100g,200.0㎉,3.89g,0.39g,45.56g,0.0g,138.89㎎,0g,0g,0g
CJ)참좋은고추장,100.0mL,235.0㎉,6g,2.0g,48.0g,24g,2590.0㎎,0g,1.0g,0g
CJ)참진한참기름,100.0mL,900.0㎉,0g,100.0g,0.0g,0g,0.0㎎,0g,17.0g,0g
CJ)처갓집프리미엄오일벌크,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)처갓집프리미엄오일플러스,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)청양초고추장,100.0mL,235.0㎉,6g,3.0g,46.0g,25g,1980.0㎎,0g,1.0g,0g
CJ)체인지업,200g,264.0㎉,0.4g,0g,67.6g,67.6g,4.0㎎,0g,0g,0g
CJ)치킨마루전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)치킨튀김가루,100.0g,345㎉,8g,1.3g,75g,5g,1510㎎,0g,0.4g,0g
CJ)칡냉면,100g,385.0㎉,13g,2.8g,77g,3.46g,1850.0㎎,0g,0.6g,0g
CJ)카놀라유,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,8g,0g
CJ)케이에프씨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)케이에프씨후라잉오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)켄터키후랑크,100.0g,255㎉,10g,20g,9g,3g,770㎎,0g,7g,0g
CJ)켄터키후랑크소시지,100.0g,255.0㎉,10g,20.0g,9.0g,3g,770.0㎎,0g,7.0g,0g
CJ)코바코후라잉오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)콩기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)크레페믹스,200.0g,800㎉,16g,18g,144g,27g,840㎎,5mg미만g,7g,0g
CJ)탕수완자,30g,16.65㎉,0.79g,1.05g,1.02g,0.0g,33.66㎎,0g,0g,0g
CJ)태양초골드고추장,100.0mL,225.0㎉,5g,3.0g,45.0g,24g,2360.0㎎,0g,1.0g,0g
CJ)텐진포자만두,150g,300.0㎉,10.5g,15g,31.5g,2.55g,592.5㎎,0g,4.8g,0g
CJ)통째로갈아넣은인삼유한뿌리,150g,121.88㎉,1.88g,2.81g,24.38g,0.94g,46.88㎎,0g,2.81g,0g
CJ)통째로갈아넣은홍삼유한뿌리,150g,121.88㎉,1.88g,1.88g,24.38g,0.94g,56.25㎎,0g,1.88g,0g
